"","Tokyo","Delhi","Shanghai","Sao Paulo","Mexico City","Cairo","Mumbai","Beijing","Dhaka","Osaka","New York City","Karachi","Buenos Aires","Chongqing","Istanbul","Kolkata","Manila","Lagos","Rio de Janeiro","Tianjin","Kinshasa","Guangzhou","Los Angeles","Moscow","Shenzhen","Lahore","Bangalore","Paris","Bogota","Jakarta","Chennai","Lima","Bangkok","Seoul","Nagoya","Hyderabad","London","Tehran","Chicago","Chengdu","Nanjing","Wuhan","Ho Chi Minh City","Luanda","Ahmedabad","Kuala Lumpur","Xi'an","Hong Kong","Dongguan","Hangzhou","Foshan","Shenyang","Riyadh","Baghdad","Santiago","Surat","Madrid","Suzhou","Pune","Harbin","Houston","Dallas","Toronto","Dar es Salaam","Miami","Belo Horizonte","Singapore","Philadelphia","Atlanta","Fukuoka","Khartoum","Barcelona","Johannesburg","Saint Petersburg","Qingdao","Dalian","Washington D.C.","Yangon","Alexandria","Jinan","Guadalajara"
"Tokyo",0,5671.710832,1765.489408,16126.23366,11322.33078,9585.553424,6737.930033,2101.510053,4902.885821,402.606619,10874.15081,6919.972028,18364.96289,3173.412486,8970.732884,5139.923517,2994.685834,13493.56447,18555.73372,2028.31602,13367.40544,2908.859543,8828.363719,7500.571261,2891.232634,5973.703587,6672.879315,9738.200841,14325.79863,5770.20913,6435.241426,15494.45096,4588.567598,1157.318732,263.800258,6332.109309,9582.744673,7680.982924,10156.12133,3356.300978,1978.89564,2433.348559,4332.069111,13857.47804,6548.825334,5318.52429,2806.864802,2889.825099,2874.441733,1924.57396,2929.402152,1569.388199,8710.250348,8367.037729,17237.42112,6626.22809,10785.25553,1840.356292,6682.35629,1569.773061,10751.80352,10418.7443,10369.74593,11398.07525,12015.85464,18218.71399,5312.227843,10895.37138,11053.3011,889.438324,10502.24229,10438.84132,13546.87987,7615.116936,1748.406849,1646.171109,10924.26218,4781.528828,9599.185543,2045.496981,10905.66869
"Delhi",5671.710832,0,3992.774194,13955.597,15124.24538,4950.097689,1073.238761,3675.613042,928.375399,5293.388076,12327.19945,1424.183572,16011.91566,2550.481949,5138.547435,760.000833,4289.417895,8500.879597,14447.47172,3714.419744,7822.863937,3251.112146,13178.19754,4932.039072,3326.873509,1020.246602,1360.410167,7194.209925,15818.58894,4384.762892,1301.029548,17348.51504,2353.877747,4532.366708,5419.956525,861.40415,7316.393817,3109.740559,12543.07199,2331.524208,3738.142943,3306.847304,3091.263243,8262.376499,912.136321,3235.2139,2865.731583,3355.431204,3299.764198,3866.117557,3235.402191,4299.353678,3492.68335,3700.780147,17142.55382,957.122241,7868.804269,3910.539796,1034.681525,4652.017656,13960.83405,13640.70876,12181.70175,5741.173731,14077.35586,14405.85164,3540.144062,12438.11124,13357.26022,4828.004947,5175.838061,7366.58288,8037.828844,5515.21212,3925.4084,4082.337612,12608.8495,1773.560584,5061.380909,3637.341008,14955.12916
"Shanghai",1765.489408,3992.774194,0,16498.01457,12928.79171,8369.105376,5039.170575,1067.585149,3170.963799,1364.03512,11883.79367,5322.881249,19631.1089,1446.049466,8004.151555,3405.952111,1843.765282,12242.62085,18276.15027,955.694974,11800.63497,1212.060637,10451.96218,6831.161609,1220.275275,4447.355999,4917.649215,9283.428701,15709.7209,4418.872057,4675.090896,17163.67375,2868.856568,863.116804,1501.78503,4597.038514,9214.85779,6391.064327,11376.71203,1663.690824,271.863865,688.43545,2735.910927,12252.65407,4894.325456,3738.693935,1220.097512,1230.666471,1188.321843,167.7548,1231.518117,1183.999046,7253.242232,7085.658822,18861.701,4948.963289,10273.20545,82.481334,4974.148014,1670.141603,12212.77681,11864.7351,11444.41551,9667.90732,13289.31735,18095.4853,3795.638175,11933.18563,12314.49081,876.811041,9034.322439,9844.048371,11781.39171,7117.86097,546.148858,850.390357,12005.58707,3020.359956,8418.830762,728.531928,12538.09848
"Sao Paulo",16126.23366,13955.597,16498.01457,0,6086.415067,9006.188107,13249.20621,15431.53353,14860.17301,16296.82437,5369.890536,12564.92247,3856.411252,15855.28245,8974.010843,14715.5167,18078.26378,5720.783684,2429.575653,15542.73335,6989.968807,16836.45564,8332.045905,9821.999638,16926.80614,13075.63803,13851.69037,7328.541987,3027.894821,17059.52509,14129.69889,3467.830987,16260.75696,15955.10953,16231.30885,13856.69564,7353.674303,10905.52817,6259.937078,15598.66905,16315.27417,16252.04947,16992.96313,6778.393365,13138.17953,16605.0844,15622.60138,16964.30068,16875.1067,16550.47262,16831.99378,15430.50241,10504.50837,10271.32128,4296.07329,13202.21858,6409.912618,16462.06973,13359.79428,15049.09334,6134.397929,6398.28397,5907.161138,9645.311179,4621.825817,2092.502712,16845.09053,5371.081173,5476.91316,16427.7947,8989.096423,6881.877903,8500.857698,9457.050264,15959.83325,15697.93626,5381.057513,15698.31464,8898.947954,15783.88414,6548.447311
"Mexico City",11322.33078,15124.24538,12928.79171,6086.415067,0,12392.68585,15661.38833,12478.47544,15127.71342,11701.02827,3364.417359,14882.63355,7364.003913,13933.60859,11449.10972,15288.58624,14238.68497,11085.23364,7644.402811,12513.07216,12742.05276,14140.67797,2493.982088,10744.52039,14146.72568,14326.98524,16409.92327,9215.167978,3173.077519,16861.71073,16419.41855,4237.843243,15741.96347,12074.6811,11566.57954,15921.74405,8950.133695,13170.6695,2721.620579,13941.40303,13034.00248,13429.2101,15644.94565,12680.95652,15228.9777,16640.02868,13372.24591,14154.09763,14116.86032,13095.45837,14159.98784,11945.91179,13896.81086,13011.6577,6581.880198,15432.96099,9085.039797,12980.35516,15741.56291,11449.32776,1215.36781,1499.375162,3263.457191,15330.03633,2069.947369,7424.690746,16622.29579,3236.89691,2162.906979,12145.66751,13474.53491,9508.783893,14584.52268,10110.80171,12598.505,12289.6402,3037.984179,15670.79566,12215.68139,12740.35485,462.564357
"Cairo",9585.553424,4950.097689,8369.105376,9006.188107,12392.68585,0,4361.263202,7557.31793,5856.38501,9324.719732,9039.893757,3584.848465,11811.90522,7131.341068,1232.689696,5709.721195,9188.274331,3914.748908,9908.746168,7652.80666,4167.214813,8034.187087,12221.62785,2896.844801,8120.545273,4100.475563,5120.467436,3213.290327,11222.8462,8971.014774,5363.240871,12427.35648,7284.031879,8504.922819,9406.25014,4968.075471,3511.65409,1983.962162,9882.447514,6865.131667,8099.135313,7782.83471,8024.95111,4716.5195,4167.963821,7957.670644,7159.728757,8154.503656,8081.01962,8303.824328,8022.74826,8020.51841,1640.492423,1297.529849,12796.60044,4264.126679,3353.766042,8292.77837,4479.396253,8068.628216,11305.11434,11166.33508,9228.040756,4169.58198,10455.59968,9764.460725,8262.003988,9167.057132,10238.68164,8986.475516,1612.355588,2898.111487,6230.421469,3317.809227,8043.852946,8012.088231,9365.716031,6708.806068,178.143655,7741.866956,12590.58239
"Mumbai",6737.930033,1073.238761,5039.170575,13249.20621,15661.38833,4361.263202,0,4748.302122,1886.511855,6356.090589,12555.28936,873.233826,14948.169,3593.122361,4813.31268,1662.653615,5135.616154,7629.030169,13456.2806,4787.646625,6814.765641,4209.361322,14005.11503,5022.480905,4277.4989,1386.913601,846.746451,7016.577844,15554.33882,4644.570532,1032.128323,16717.03013,3016.995678,5602.936608,6484.273096,612.113277,7195.364231,2795.529204,12963.72839,3387.116103,4790.266498,4350.901544,3743.807068,7234.563231,436.068063,3597.085567,3934.743492,4302.346119,4257.516457,4905.950508,4191.955672,5371.499041,2767.76961,3237.285364,16076.46101,232.014816,7537.789995,4957.444531,118.914957,5716.530612,14451.10295,14163.94514,12504.79011,4668.70983,14257.03229,13443.6014,3902.398569,12675.55448,13680.21771,5886.085484,4297.325885,7039.713072,6972.816724,5646.620445,4994.148476,5155.338172,12861.71261,2477.400045,4499.250176,4708.463682,15585.20973
"Beijing",2101.510053,3675.613042,1067.585149,15431.53353,12478.47544,7557.31793,4748.302122,0,3030.557623,1785.077101,11014.36334,4843.504138,19265.62553,1461.065099,7074.032607,3263.040434,2842.528823,11470.17221,17346.44824,113.403321,11266.71384,1888.674402,10079.52599,5807.670274,1942.069649,3880.057133,4827.667003,8237.293945,14956.84882,5191.958849,4627.432156,16646.11539,3273.062717,957.947921,1883.828094,4421.317344,8158.833516,5614.568667,10623.98096,1521.33692,901.097528,1059.799841,3374.241584,11761.10203,4512.430439,4335.537928,916.974488,1968.864364,1890.773912,1126.528224,1901.629302,625.820639,6610.378907,6306.902899,19055.23028,4611.165692,9239.657668,1031.113592,4708.162506,1053.452235,11618.89912,11265.03988,10612.08264,9409.895983,12529.98001,17109.71227,4459.306923,11075.33302,11568.10365,1432.048088,8403.277772,8822.849969,11701.27783,6068.000268,550.719407,459.928158,11166.63986,3226.017254,7587.490443,368.743116,12134.04369
"Dhaka",4902.885821,928.375399,3170.963799,14860.17301,15127.71342,5856.38501,1886.511855,3030.557623,0,4511.532242,12695.45257,2352.463332,16780.8395,1730.99212,5964.982772,237.366684,3362.055805,9426.891238,15339.43449,3046.800403,8699.545021,2337.22428,12933.0348,5554.089492,2410.026998,1804.863402,1799.296011,7925.255329,16454.23293,3745.42505,1598.666236,18166.69896,1531.065698,3798.707806,4643.904388,1429.324222,8014.951192,3969.362653,12739.8146,1555.133012,2931.666159,2483.581706,2242.678952,9120.833837,1824.056164,2577.635369,2144.891892,2437.289274,2385.771228,3031.449491,2320.737529,3652.431137,4420.500841,4589.78998,17883.04948,1830.754803,8667.173775,3090.246204,1812.006294,4064.8258,14052.71412,13711.11251,12473.67315,6499.586432,14438.21257,15314.36063,2864.680715,12796.11131,13619.19539,4032.583322,6098.426265,8168.023379,8693.719884,6094.975822,3184.095188,3388.74075,12950.014,971.832293,5961.338169,2920.203007,14874.75756
"Osaka",402.606619,5293.388076,1364.03512,16296.82437,11701.02827,9324.719732,6356.090589,1785.077101,4511.532242,0,11131.42501,6562.378202,18747.82626,2780.758199,8766.074562,4748.247239,2659.847006,13239.3427,18697.54202,1701.30711,13027.87044,2509.298695,9207.818862,7355.50746,2493.586568,5629.590869,6275.889775,9657.590138,14671.62312,5430.343588,6036.527559,15888.13213,4189.035981,827.146225,139.471965,5940.810336,9521.360527,7395.721589,10455.31917,2970.288048,1582.542524,2036.020139,3947.516074,13508.09925,6177.339717,4939.012961,2433.788941,2493.128855,2475.575162,1522.321229,2529.809781,1317.126456,8389.378005,8086.37335,17616.46473,6249.478134,10697.86678,1439.648392,6298.134395,1439.58866,11101.90058,10765.17189,10638.73012,11009.94591,12332.1838,18365.58782,4942.607988,11158.73357,11363.91492,487.343774,10182.86897,10329.78317,13145.16875,7510.272025,1382.893814,1325.156893,11196.9605,4378.940112,9347.007039,1687.15769,11288.65281
"New York City",10874.15081,12327.19945,11883.79367,5369.890536,3364.417359,9039.893757,12555.28936,11014.36334,12695.45257,11131.42501,0,11706.95946,8486.870149,12226.4878,8087.661973,12765.69373,13693.06766,8480.949487,7716.296396,11096.16538,10261.4822,12901.83736,3948.600699,7533.130438,12956.41182,11370.9548,13386.32602,5851.007147,3995.653691,16171.58604,13492.84336,5845.735859,13938.00865,11083.50751,11034.3605,12966.48017,5586.803747,9879.359278,1153.306071,12103.52127,11846.30771,12072.64862,14309.37956,10411.57892,12151.75951,15129.28025,11703.50303,12982.87439,12905.06871,12016.84437,12914.10269,10702.94526,10533.51938,9664.039205,8212.815546,12344.96623,5783.306381,11895.03301,12655.69216,10214.4743,2282.513116,2212.473694,555.185894,12458.18794,1752.39006,7392.836817,15343.0566,127.523963,1201.660154,11412.73859,10230.74546,6178.993027,12820.28055,6908.998974,11379.42892,11049.95957,326.493077,13559.03754,8862.177626,11368.68197,3554.45634
"Karachi",6919.972028,1424.183572,5322.881249,12564.92247,14882.63355,3584.848465,873.233826,4843.504138,2352.463332,6562.378202,11706.95946,0,14732.01901,3906.702419,3953.242732,2172.271149,5711.544852,7078.929802,13059.3303,4903.039903,6480.477103,4666.158612,13444.22176,4176.79557,4743.898446,1007.057232,1719.240952,6145.060457,14711.34279,5489.389468,1898.490888,16009.97765,3704.701802,5763.342845,6680.443654,1426.465982,6322.171227,1924.946251,12165.87633,3666.048616,5058.248532,4649.602919,4444.921612,6947.265234,584.027085,4410.29872,4137.327996,4773.340787,4714.775405,5210.005695,4651.041566,5444.594517,2072.220137,2400.332129,15854.22214,708.716749,6686.503164,5240.480912,986.884416,5717.703737,13667.31893,13396.8728,11678.95947,4642.960441,13395.11325,13000.3268,4718.254387,11828.63055,12848.0961,6118.927034,3760.946633,6186.425528,7058.83535,4805.749817,5179.493017,5283.979398,12017.22702,3134.454484,3710.508197,4876.707581,14852.21632
"Buenos Aires",18364.96289,16011.91566,19631.1089,3856.411252,7364.003913,11811.90522,14948.169,19265.62553,16780.8395,18747.82626,8486.870149,14732.01901,0,18504.37252,12234.45052,16543.53717,17787.3884,7914.157975,1945.30775,19378.97316,8255.21658,18505.28802,9828.015773,13463.1038,18481.33725,15645.83496,14999.76027,11028.49454,4640.068447,15241.83943,15229.43665,3126.703731,16903.6582,19428.98203,18620.3518,15352.45088,11107.20378,13778.27106,8978.954282,18330.76876,19629.98597,19206.42917,16966.80698,7784.984131,15126.90881,15968.69438,18868.38728,18465.18504,18520.90151,19505.68566,18487.40504,19189.5202,12858.04848,13083.05144,1131.4676,15055.87353,10027.86434,19627.93419,15004.68956,18696.24075,8113.06936,8462.865018,8922.297192,10289.06809,7065.431597,2165.296237,15893.46041,8436.220185,8039.239456,19201.8131,11067.70851,10447.74981,8106.051915,13197.65109,19814.14272,19526.36488,8361.591737,16815.1241,11771.0604,19550.44516,7744.635652
"Chongqing",3173.412486,2550.481949,1446.049466,15855.28245,13933.60859,7131.341068,3593.122361,1461.065099,1730.99212,2780.758199,12226.4878,3906.702419,18504.37252,0,6942.484136,1967.537605,2223.288505,10922.1089,16959.03401,1439.558519,10369.61719,981.292435,11540.14185,6046.447839,1071.554642,3086.573209,3504.658202,8540.332469,16221.71999,3945.669649,3275.863406,18029.87659,1839.986624,2089.897341,2913.615589,3160.125715,8539.93527,5150.748513,11961.1221,267.717223,1201.063042,757.864029,2083.119601,10812.85356,3456.625963,2967.135036,565.204114,1109.07362,1019.985374,1315.696558,977.449941,2036.932745,5891.844652,5834.023321,19505.06201,3505.191452,9445.399994,1364.371344,3528.519501,2508.766101,13039.57736,12685.4305,11874.83021,8230.455818,13839.11604,16869.84678,3135.233435,12301.49259,12900.27054,2301.731575,7651.051328,8975.613445,10399.29936,6453.573188,1479.588884,1726.867438,12414.33616,1766.704553,7202.506781,1250.724976,13594.2058
"Istanbul",8970.732884,5138.547435,8004.151555,8974.010843,11449.10972,1232.689696,4813.31268,7074.032607,5964.982772,8766.074562,8087.661973,3953.242732,12234.45052,6942.484136,0,5867.397456,9127.157817,4593.098199,10289.6075,7179.559195,5208.721726,7905.26544,11042.2849,1755.755279,7995.341261,4161.781582,5642.273743,2259.890911,10762.59032,9439.040536,5845.39961,12219.18114,7479.697015,7978.671374,8826.86433,5378.482529,2502.055418,2044.425298,8834.992045,6676.393811,7745.432507,7499.981658,8205.849888,5749.828078,4518.048538,8335.63016,6851.23355,8031.838662,7948.490164,7969.819042,7897.511317,7449.888393,2448.922138,1611.242283,13088.07369,4661.84087,2740.51805,7935.24332,4930.779517,7407.257068,10303.78393,10130.24072,8212.436316,5399.729397,9629.132119,10091.4616,8644.122821,8215.022636,9287.500771,8495.157078,2843.194623,2238.331516,7436.362356,2104.254382,7601.08287,7507.410741,8413.541888,6901.128594,1090.967015,7317.158411,11593.25497
"Kolkata",5139.923517,760.000833,3405.952111,14715.5167,15288.58624,5709.721195,1662.653615,3263.040434,237.366684,4748.247239,12765.69373,2172.271149,16543.53717,1967.537605,5867.397456,0,3540.598411,9233.49201,15118.8707,3280.898186,8477.419103,2549.921938,13130.90557,5535.37372,2620.24817,1709.299587,1564.966526,7871.243734,16450.40515,3751.262319,1371.159068,18086.50672,1612.335414,4035.950381,4880.786423,1192.589096,7973.569868,3852.586165,12853.26421,1792.366544,3167.875037,2719.042378,2343.20947,8894.308745,1626.926915,2584.801727,2380.850839,2646.311843,2598.28132,3265.328006,2532.901014,3885.829636,4244.358205,4456.001856,17646.31642,1619.181632,8585.129222,3325.418463,1584.265198,4293.972584,14192.57481,13854.60672,12563.42524,6263.465417,14514.61224,15101.29422,2880.849567,12869.3244,13719.01393,4268.854936,5901.194717,8084.177329,8457.231223,6091.192393,3421.341201,3624.596865,13028.03873,1034.239926,5819.975245,3156.723207,15050.22206
"Manila",2994.685834,4289.417895,1843.765282,18078.26378,14238.68497,9188.274331,5135.616154,2842.528823,3362.055805,2659.847006,13693.06766,5711.544852,17787.3884,2223.288505,9127.157817,3540.598411,0,12762.4133,18152.18987,2740.61478,11824.91753,1241.999713,11758.0457,8263.930298,1151.760655,5088.531787,4686.99811,10758.52084,17318.24599,2775.524996,4406.69964,18063.86609,2195.565007,2610.166323,2779.805765,4558.696658,10746.77468,7243.450364,13098.43535,2479.648831,1944.648021,1891.541147,1611.884423,12162.13408,5164.659852,2467.247296,2488.83325,1114.225199,1204.004775,1735.492469,1246.283712,3023.490634,7782.087042,7900.788731,17618.28633,5137.086775,11668.42072,1849.166674,5036.44513,3493.20876,13743.94409,13412.79249,13231.33496,9320.73658,14988.26292,18326.10788,2390.302518,13734.74253,14016.83274,2305.494776,9427.860121,11196.81477,11012.30856,8649.227894,2380.050697,2694.05487,13793.34892,2670.487903,9280.674573,2474.106195,13800.20449
"Lagos",13493.56447,8500.879597,12242.62085,5720.783684,11085.23364,3914.748908,7629.030169,11470.17221,9426.891238,13239.3427,8480.949487,7078.929802,7914.157975,10922.1089,4593.098199,9233.49201,12762.4133,0,6051.653183,11564.25514,1781.056785,11742.12942,12429.33055,6246.145133,11821.27014,7835.535702,8151.128968,4701.459632,8579.468454,11565.90472,8431.993792,9131.650381,10624.5968,12419.48859,13319.61843,8215.780716,5005.62765,5864.570399,9623.644272,10663.54226,11970.85406,11621.29076,11324.02803,2012.613073,7606.646051,10895.15805,11023.35513,11851.25259,11790.64659,12162.54784,11727.50295,11932.71471,5036.105542,5169.605765,8942.184633,7626.123741,3829.136112,12163.74886,7730.597575,11956.64838,10500.06058,10573.19443,8937.573721,4246.474349,9067.31094,5948.413136,11152.94891,8578.951398,9416.252793,12896.62165,3334.736444,3873.405271,4479.007188,6352.090418,11948.01389,11925.99547,8734.590178,10104.16124,3894.839897,11643.2533,11487.7159
"Rio de Janeiro",18555.73372,14447.47172,18276.15027,2429.575653,7644.402811,9908.746168,13456.2806,17346.44824,15339.43449,18697.54202,7716.296396,13059.3303,1945.30775,16959.03401,10289.6075,15118.8707,18152.18987,6051.653183,0,17456.03713,6641.668246,17657.39736,10108.17581,11550.32796,17717.86295,13879.34082,13737.42668,9162.095808,4508.469993,15462.31542,14006.10632,3746.457591,16126.20631,18154.18872,18649.33898,13968.83757,9271.749782,11888.96298,8493.388448,16706.71661,18007.40748,17672.81108,16587.70053,6236.222191,13535.34321,15686.95984,17067.04136,17738.21001,17704.57429,18210.70795,17638.94606,17590.1585,11070.2118,11195.15617,2893.639335,13510.81044,8139.189772,18200.97374,13537.34512,17323.04617,8049.147896,8364.093618,8232.77791,8987.535917,6684.889124,337.57385,15764.20283,7701.925477,7625.984694,18688.65001,9308.196922,8539.614738,7158.266273,11329.44313,17886.3138,17747.85297,7684.979912,15768.02452,9857.578167,17606.75155,8088.743965
"Tianjin",2028.31602,3714.419744,955.694974,15542.73335,12513.07216,7652.80666,4787.646625,113.403321,3046.800403,1701.30711,11096.16538,4903.039903,19378.97316,1439.558519,7179.559195,3280.898186,2740.61478,11564.25514,17456.03713,0,11339.23138,1811.302598,10102.4728,5919.810287,1861.428094,3946.702835,4845.798068,8350.556711,15028.42934,5118.268562,4640.463733,16697.39244,3232.812397,876.08036,1804.34064,4447.428164,8272.235723,5705.434084,10691.24752,1519.632132,796.658782,985.59381,3310.527552,11830.12815,4560.870195,4279.194114,913.134231,1887.093074,1811.219015,1018.690323,1824.972217,607.850049,6689.151315,6398.54674,19072.90403,4655.15763,9352.49657,920.929618,4744.750451,1069.809268,11668.54091,11314.97627,10689.03344,9453.335389,12599.55941,17221.50195,4396.172758,11155.72301,11635.35393,1333.958507,8482.519193,8935.075918,11729.42996,6181.324912,437.732589,382.374718,11244.7447,3206.205068,7684.74631,273.558727,12163.07369
"Kinshasa",13367.40544,7822.863937,11800.63497,6989.968807,12742.05276,4167.214813,6814.765641,11266.71384,8699.545021,13027.87044,10261.4822,6480.477103,8255.21658,10369.61719,5208.721726,8477.419103,11824.91753,1781.056785,6641.668246,11339.23138,0,11019.89022,14210.04894,6964.39635,11084.91594,7398.280421,7146.492029,6025.036291,9989.276315,10128.48433,7424.493562,10172.2461,9629.495218,12213.04349,13139.68105,7334.712257,6358.009752,5813.921754,11404.70105,10138.63288,11537.70672,11121.56449,10255.07696,549.475975,6913.513809,9644.027285,10616.18898,11108.00748,11067.68687,11682.46573,11002.00526,11829.94242,4675.435048,5173.47006,9373.85503,6875.546565,5320.728288,11718.15964,6895.867543,11999.42165,12246.30805,12336.24838,10718.04575,2669.312329,10775.50837,6642.176866,9863.609979,10358.77321,11178.60135,12595.93423,2904.213309,5236.350293,2767.566152,7243.272824,11647.99674,11721.25515,10512.75481,9183.715593,4229.201758,11341.61478,13166.11004
"Guangzhou",2908.859543,3251.112146,1212.060637,16836.45564,14140.67797,8034.187087,4209.361322,1888.674402,2337.22428,2509.298695,12901.83736,4666.158612,18505.28802,981.292435,7905.26544,2549.921938,1241.999713,11742.12942,17657.39736,1811.302598,11019.89022,0,11663.39831,7025.073108,90.560643,3944.020756,3929.549237,9519.479036,16836.12198,3307.981651,3665.833962,18375.22853,1679.771814,2068.267518,2648.584984,3688.698703,9514.116058,6066.043701,12493.97422,1238.889533,1127.661763,829.269534,1538.670756,11421.19094,4158.409606,2536.994723,1303.299113,127.892605,48.652764,1045.222308,20.596547,2276.948056,6710.235163,6738.283218,18800.63843,4167.129563,10426.54305,1161.024803,4125.08575,2785.187462,13402.82333,13052.41639,12500.08084,8695.397929,14405.47681,17651.06883,2615.908673,12963.72668,13437.42752,2033.869418,8425.696631,9955.896987,10677.91713,7421.989367,1591.038563,1920.33764,13055.17835,1922.722375,8115.469443,1541.984412,13749.6881
"Los Angeles",8828.363719,13178.19754,10451.96218,8332.045905,2493.982088,12221.62785,14005.11503,10079.52599,12933.0348,9207.818862,3948.600699,13444.22176,9828.015773,11540.14185,11042.2849,13130.90557,11758.0457,12429.33055,10108.17581,10102.4728,14210.04894,11663.39831,0,9794.200502,11665.16836,12623.83431,14538.4047,9106.259664,5602.71564,14456.53963,14441.88218,6711.852995,13298.29231,9605.420992,9073.053381,14038.39939,8778.372959,12208.74618,2807.967957,11582.89867,10571.05765,10981.49021,13153.93265,14345.19451,13584.09176,14146.46222,10991.06603,11670.97152,11637.52723,10619.35688,11683.04865,9516.930636,13312.97698,12328.04459,8975.757779,13778.77638,9385.556865,10506.67187,14044.50841,9032.687958,2211.483964,1999.366933,3502.562215,16214.41015,3764.318623,9870.980093,14132.33479,3852.373214,3115.393065,9655.593298,13708.2101,9674.263277,16672.8422,9199.42027,10149.21806,9851.122344,3703.082848,13305.27052,12051.51198,10313.7391,2086.376233
"Moscow",7500.571261,4932.039072,6831.161609,9821.999638,10744.52039,2896.844801,5022.480905,5807.670274,5554.089492,7355.50746,7533.130438,4176.79557,13463.1038,6046.447839,1755.755279,5535.37372,8263.930298,6246.145133,11550.32796,5919.810287,6964.39635,7025.073108,9794.200502,0,7114.550826,3920.313218,5857.736841,2494.594109,10915.44262,9286.478472,5982.437811,12640.77596,7063.193825,6627.181509,7394.232402,5460.057002,2506.696267,2463.2696,8024.27808,5799.228037,6597.955808,6450.744199,7718.103017,7504.90025,4624.35335,8120.068172,5808.47308,7152.131148,7061.155375,6834.600681,7022.473097,6070.404822,3527.614584,2544.090177,14113.38355,4814.492064,3444.421359,6774.107346,5124.067065,5935.192734,9534.11243,9290.954917,7507.580685,6934.803688,9241.993764,11302.31228,8414.17149,7653.889803,8672.395206,7162.18299,4480.886178,3015.37301,9119.570835,633.751108,6356.974199,6197.611902,7841.351131,6524.553899,2790.502601,6107.234765,10774.6507
"Shenzhen",2891.232634,3326.873509,1220.275275,16926.80614,14146.72568,8120.545273,4277.4989,1942.069649,2410.026998,2493.586568,12956.41182,4743.898446,18481.33725,1071.554642,7995.341261,2620.24817,1151.760655,11821.27014,17717.86295,1861.428094,11084.91594,90.560643,11665.16836,7114.550826,0,4028.703587,3983.840924,9609.019477,16877.78859,3263.378702,3718.158218,18374.29076,1699.974385,2081.314139,2632.5279,3751.501981,9602.799037,6153.537039,12534.36511,1329.435933,1155.670298,885.988915,1517.712486,11482.28297,4232.719929,2519.491263,1383.418959,37.5852,56.597872,1055.3748,98.316626,2311.21263,6790.922839,6824.952633,18721.20435,4238.62639,10516.89806,1174.300907,4191.935356,2818.69016,13425.24446,13075.68835,12549.82659,8746.19051,14447.02572,17720.98011,2587.883248,13016.88112,13477.21118,2022.897421,8502.367917,10046.38629,10710.24495,7509.950013,1623.482144,1954.588756,13106.02735,1967.513365,8202.507147,1590.210452,13751.49964
"Lahore",5973.703587,1020.246602,4447.355999,13075.63803,14326.98524,4100.475563,1386.913601,3880.057133,1804.863402,5629.590869,11370.9548,1007.057232,15645.83496,3086.573209,4161.781582,1709.299587,5088.531787,7835.535702,13879.34082,3946.702835,7398.280421,3944.020756,12623.83431,3920.313218,4028.703587,0,2084.958658,6178.252757,14798.65297,5404.663392,2136.793223,16378.29034,3319.845925,4817.047057,5742.070393,1614.028363,6296.736073,2170.741917,11668.34153,2828.851612,4177.340308,3797.155605,4044.073897,7883.791924,960.279236,4252.450176,3235.692793,4061.776928,3991.560292,4349.73405,3931.610221,4468.753336,2809.832341,2812.995212,16743.94109,1157.176877,6875.845798,4365.905646,1441.54623,4722.560742,13129.72351,12828.05521,11260.36812,5649.328454,13112.7763,13783.58595,4556.179442,11485.38298,12440.44396,5203.456883,4587.031156,6374.883667,8064.905229,4512.34387,4250.871851,4329.054335,11662.07026,2743.341813,4192.524544,3943.801139,14219.8829
